Date,Unemployment,National_Currrency,Bond_yield,Inflation
1/1/60,1.2,95300000000,5.66,4.139264991
1/1/61,1.1,1.01E+11,5.52,2.414561664
1/1/62,1.2,1.08E+11,5.43,5.247249426
1/1/63,1.4,1.14E+11,5.34,4.939689833
1/1/64,1.1,1.21E+11,5.45,3.229337712
1/1/65,1.4,1.27E+11,6.2,2.714740191
1/1/66,1.4,1.33E+11,6.58,2.570720628
1/1/67,1.9,1.40E+11,6.71,2.818319074
1/1/68,2.3,1.46E+11,6.95,4.552129222
1/1/69,2,1.55E+11,8.18,6.039325842
1/1/70,2.2,1.63E+11,8.55,5.845474614
1/1/71,2.4,1.73E+11,8.42,5.397513973
1/1/72,2.4,1.82E+11,8.01,6.063004591
1/1/73,2.4,1.93E+11,9,7.380597015
1/1/74,2.6,2.03E+11,11,13.64931545
1/1/75,3.7,2.14E+11,10.31,11.68592919
1/1/76,4,2.23E+11,10.51,9.625492773
1/1/77,4.6,2.30E+11,10.99,9.494555988
1/1/78,4.5,2.45E+11,10.61,9.250558774
1/1/79,5.2,2.53E+11,10.85,10.64673709
1/1/80,5.5,2.61E+11,13.78,13.53911173
1/1/81,6.5,2.68E+11,16.29,13.33333333
1/1/82,7.1,2.80E+11,16,11.9784756
1/1/83,7.3,2.87E+11,14.37,9.459548417
1/1/84,8.5,2.93E+11,13.4,7.673803223
1/1/85,9,3.02E+11,11.87,5.831099196
1/1/86,9.2,3.09E+11,9.12,2.538526494
1/1/87,9.3,3.18E+11,9.48,3.288898039
1/1/88,8.8,3.29E+11,9.08,2.700817221
1/1/89,8.3,3.33E+11,8.8,3.498301795
1/1/90,7.9,3.44E+11,9.93,3.380057194
1/1/91,8.3,3.56E+11,9.04,3.216934745
1/1/92,9.1,3.68E+11,8.59,2.365765038
1/1/93,10.2,3.81E+11,6.77,2.106010412
1/1/94,10.7,3.82E+11,7.21,1.660872924
1/1/95,10,3.82E+11,7.53,1.778115502
1/1/96,10.6,3.91E+11,6.31,2.004778228
1/1/97,10.7,3.95E+11,5.58,1.221995927
1/1/98,10.3,3.92E+11,4.64,0.595238095
1/1/99,10,3.98E+11,4.61,0.533377781
1/1/00,8.5,4.05E+11,5.39,1.699411423
1/1/01,7.7,4.10E+11,4.94,1.630257581
1/1/02,7.9,4.17E+11,4.86,1.916907283
1/1/03,8.1,4.25E+11,4.13,2.109073739
1/1/04,8.5,4.34E+11,4.1,2.134874759
1/1/05,8.5,4.40E+11,3.41,1.735587081
1/1/06,8.5,4.46E+11,3.8,1.68372645
1/1/07,7.7,4.54E+11,4.3,1.488073528
1/1/08,7.1,4.59E+11,4.23,2.813915043
1/1/09,8.7,4.70E+11,3.65,0.088084169
1/1/10,8.9,4.76E+11,3.12,1.529639382
1/1/11,8.8,4.81E+11,3.32,2.117486809
1/1/12,9.4,4.89E+11,2.54,1.9556855
1/1/13,9.9,4.96E+11,2.2,0.86360693
1/1/14,10.3,5.02E+11,1.67,0.507700673
1/1/15,10.4,5.09E+11,0.84,0.037803733
1/1/16,10.1,5.16E+11,0.47,0.183334861